(torch-env) bash-4.4$ python3 train_ddp.py
Dataset : cifar10
Batch Size : 128
Latent Noise Dimenstion : 100
Generator Filters : 64
Discriminator Filters : 64
Channels : 3
Learning Rate : 0.0002
Epochs : 30
############################################################################
Initiating Distributed Training Schedule with 2 CUDA Devices

Device and Rank:  cuda 0
Device and Rank:  cuda 1
Files already downloaded and verified
Files already downloaded and verified
Starting Distrubuted Training
Starting Distrubuted Training
Epoch: 0, G_Loss: 0.049293694705963134, D1_Loss: 0.003540034729987383, D2_Loss: 0.003540034729987383
Utilization: 43.173469387755105, Throughput(with Loaders): 3656.1715474613716, Throughput: 7697.595342265001, Epoch Time: 13.675507111999991 sec
**********************************************************
Epoch: 1, G_Loss: 0.038843148612976074, D1_Loss: 0.0035046328514814376, D2_Loss: 0.0035046328514814376
Utilization: 41.994897959183675, Throughput(with Loaders): 3845.010827954217, Throughput: 8664.497119563965, Epoch Time: 12.332221988000015 sec
**********************************************************
Epoch: 2, G_Loss: 0.042069511747360226, D1_Loss: 0.00311337320253253, D2_Loss: 0.00311337320253253
Utilization: 42.19387755102041, Throughput(with Loaders): 3924.205920048183, Throughput: 9131.220455207724, Epoch Time: 12.216564694999988 sec
**********************************************************
Epoch: 3, G_Loss: 0.0445346210193634, D1_Loss: 0.0028619140054285527, D2_Loss: 0.0028619140054285527
Utilization: 43.39795918367347, Throughput(with Loaders): 3972.154448406677, Throughput: 9346.707402486994, Epoch Time: 12.126215631999912 sec
**********************************************************
Epoch: 4, G_Loss: 0.04667067148208618, D1_Loss: 0.00264306197412312, D2_Loss: 0.00264306197412312
Utilization: 42.5969387755102, Throughput(with Loaders): 3992.617100766114, Throughput: 9474.939395163161, Epoch Time: 12.265061685999967 sec
**********************************************************
Epoch: 5, G_Loss: 0.047451041259765625, D1_Loss: 0.002639748480618, D2_Loss: 0.002639748480618
Utilization: 43.11734693877551, Throughput(with Loaders): 4015.861485644774, Throughput: 9572.88393504425, Epoch Time: 12.08820068600005 sec
**********************************************************
Epoch: 6, G_Loss: 0.046877573957443235, D1_Loss: 0.0025694395469874143, D2_Loss: 0.0025694395469874143
Utilization: 43.755102040816325, Throughput(with Loaders): 4016.619332296477, Throughput: 9582.868065637129, Epoch Time: 12.434184537999954 sec
**********************************************************
Epoch: 7, G_Loss: 0.04530770798683167, D1_Loss: 0.002981289924532175, D2_Loss: 0.002981289924532175
Utilization: 42.32142857142857, Throughput(with Loaders): 4019.148327980681, Throughput: 9632.244944633232, Epoch Time: 12.385616160999916 sec
**********************************************************
Epoch: 8, G_Loss: 0.04439827802658081, D1_Loss: 0.0028475216141343115, D2_Loss: 0.0028475216141343115
Utilization: 44.38775510204081, Throughput(with Loaders): 4021.4405891421693, Throughput: 9610.565634841118, Epoch Time: 12.376625956999987 sec
**********************************************************
Epoch: 9, G_Loss: 0.04275018410682678, D1_Loss: 0.0027858237954229118, D2_Loss: 0.0027858237954229118
Utilization: 45.3469387755102, Throughput(with Loaders): 4025.9834181572905, Throughput: 9591.891742046591, Epoch Time: 12.293060201999879 sec
**********************************************************
Epoch: 10, G_Loss: 0.04267013020515442, D1_Loss: 0.0031302431319653987, D2_Loss: 0.0031302431319653987
Utilization: 45.34183673469388, Throughput(with Loaders): 4026.7205896849364, Throughput: 9562.235074532111, Epoch Time: 12.394316206999974 sec
**********************************************************
Epoch: 11, G_Loss: 0.0404518497467041, D1_Loss: 0.0028987312921881676, D2_Loss: 0.0028987312921881676
Utilization: 45.44897959183673, Throughput(with Loaders): 4028.0370996528295, Throughput: 9547.46142164965, Epoch Time: 12.368352094000102 sec
**********************************************************
Epoch: 12, G_Loss: 0.04006703803062439, D1_Loss: 0.003030977693647146, D2_Loss: 0.003030977693647146
Utilization: 45.25, Throughput(with Loaders): 4029.2748784301266, Throughput: 9534.930659827849, Epoch Time: 12.363421959999869 sec
**********************************************************
Epoch: 13, G_Loss: 0.04151765092849732, D1_Loss: 0.003014425832182169, D2_Loss: 0.003014425832182169
Utilization: 45.36224489795919, Throughput(with Loaders): 4034.7640118895347, Throughput: 9536.014066211583, Epoch Time: 12.172830038999791 sec
**********************************************************
Epoch: 14, G_Loss: 0.03969530567646026, D1_Loss: 0.00271720039576292, D2_Loss: 0.00271720039576292
Utilization: 45.1530612244898, Throughput(with Loaders): 4039.0720343255657, Throughput: 9537.575514940161, Epoch Time: 12.194036496999843 sec
**********************************************************
Epoch: 15, G_Loss: 0.037590355931520464, D1_Loss: 0.0029187553610652687, D2_Loss: 0.0029187553610652687
Utilization: 45.607142857142854, Throughput(with Loaders): 4042.2994421107383, Throughput: 9527.707131513735, Epoch Time: 12.220943938000119 sec
**********************************************************
Epoch: 16, G_Loss: 0.0379516135931015, D1_Loss: 0.0028558202219754456, D2_Loss: 0.0028558202219754456
Utilization: 45.795918367346935, Throughput(with Loaders): 4045.7361798792463, Throughput: 9527.614937336077, Epoch Time: 12.190573679999943 sec
**********************************************************
Epoch: 17, G_Loss: 0.03807907353878021, D1_Loss: 0.0028615227939374744, D2_Loss: 0.0028615227939374744
Utilization: 43.545918367346935, Throughput(with Loaders): 4050.3819841512186, Throughput: 9555.6830358511, Epoch Time: 12.103531776999944 sec
**********************************************************
Epoch: 18, G_Loss: 0.03673024510860443, D1_Loss: 0.0031071451364271343, D2_Loss: 0.0031071451364271343
Utilization: 45.51020408163265, Throughput(with Loaders): 4054.7629854287416, Throughput: 9560.723036570716, Epoch Time: 12.091097839999975 sec
**********************************************************
Epoch: 19, G_Loss: 0.03757218445777893, D1_Loss: 0.0024562043721601365, D2_Loss: 0.0024562043721601365
Utilization: 45.60204081632653, Throughput(with Loaders): 4057.902496380978, Throughput: 9563.233250304767, Epoch Time: 12.140369711999938 sec
**********************************************************
Epoch: 20, G_Loss: 0.03759453144788742, D1_Loss: 0.0032296222151070833, D2_Loss: 0.0032296222151070833
Utilization: 45.5969387755102, Throughput(with Loaders): 4061.337869661061, Throughput: 9566.04740901861, Epoch Time: 12.102763462000212 sec
**********************************************************
Epoch: 21, G_Loss: 0.038493215990066526, D1_Loss: 0.002741111147403717, D2_Loss: 0.002741111147403717
Utilization: 45.066326530612244, Throughput(with Loaders): 4062.8324576499213, Throughput: 9568.442629755626, Epoch Time: 12.211578121999992 sec
**********************************************************
Epoch: 22, G_Loss: 0.03582879575014115, D1_Loss: 0.003062624808754772, D2_Loss: 0.003062624808754772
Utilization: 45.33163265306123, Throughput(with Loaders): 4065.126529732161, Throughput: 9573.686012909515, Epoch Time: 12.146949507000045 sec
**********************************************************
Epoch: 23, G_Loss: 0.03414136694192886, D1_Loss: 0.003014064959771931, D2_Loss: 0.003014064959771931
Utilization: 45.65816326530612, Throughput(with Loaders): 4066.014367516524, Throughput: 9565.727317408066, Epoch Time: 12.235282884000071 sec
**********************************************************
Epoch: 24, G_Loss: 0.03468025269508362, D1_Loss: 0.003154012633152306, D2_Loss: 0.003154012633152306
Utilization: 44.66836734693877, Throughput(with Loaders): 4066.3096213755657, Throughput: 9565.098796255725, Epoch Time: 12.274732270999948 sec
**********************************************************
Epoch: 25, G_Loss: 0.03567164549350738, D1_Loss: 0.0029778280586749317, D2_Loss: 0.0029778280586749317
Utilization: 45.994897959183675, Throughput(with Loaders): 4069.003527858783, Throughput: 9562.732805590986, Epoch Time: 12.08450224499984 sec
**********************************************************
Epoch: 26, G_Loss: 0.03347958389282227, D1_Loss: 0.002787232352420688, D2_Loss: 0.002787232352420688
Utilization: 45.55102040816327, Throughput(with Loaders): 4070.6509268409054, Throughput: 9563.057949100776, Epoch Time: 12.153750295000009 sec
**********************************************************
Epoch: 27, G_Loss: 0.03209592465400696, D1_Loss: 0.003614205255344277, D2_Loss: 0.003614205255344277
Utilization: 46.18877551020408, Throughput(with Loaders): 4071.3770195187776, Throughput: 9557.308678522837, Epoch Time: 12.221711897999967 sec
**********************************************************
Epoch: 28, G_Loss: 0.03315550825834274, D1_Loss: 0.0030356589863821865, D2_Loss: 0.0030356589863821865
Utilization: 43.5969387755102, Throughput(with Loaders): 4071.7880762589193, Throughput: 9569.064106498048, Epoch Time: 12.244903577999821 sec
**********************************************************
Epoch: 29, G_Loss: 0.03465222811877727, D1_Loss: 0.0027849053432047366, D2_Loss: 0.0027849053432047366
Utilization: 43.91326530612245, Throughput(with Loaders): 4071.152418525218, Throughput: 9575.97569295891, Epoch Time: 12.337136568999995 sec
**********************************************************
