Dataset : cifar10
Batch Size : 128
Latent Noise Dimenstion : 100
Generator Filters : 64
Discriminator Filters : 64
Channels : 3
Learning Rate : 0.0002
Epochs : 30
############################################################################
Initiating Distributed Training Schedule with 3 CUDA Devices

Device and Rank:  cuda 0
Device and Rank:  cuda 2
Device and Rank:  cuda 1
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Starting Distrubuted Training
Starting Distrubuted Training
Starting Distrubuted Training
Epoch: 0, G_Loss: 0.050320427827016276, D1_Loss: 0.003533659803824068, D2_Loss: 0.003533659803824068
Utilization: 46.32824427480916, Throughput(with Loaders): 3535.2729572743197, Throughput: 5219.7285084189425, Epoch Time: 14.143462359000011 sec
**********************************************************
Epoch: 1, G_Loss: 0.03916186763392418, D1_Loss: 0.003491351475825498, D2_Loss: 0.003491351475825498
Utilization: 46.13740458015267, Throughput(with Loaders): 4540.318631275626, Throughput: 7663.619417179599, Epoch Time: 7.881864081999993 sec
**********************************************************
Epoch: 2, G_Loss: 0.043009130943441616, D1_Loss: 0.002690644805024179, D2_Loss: 0.002690644805024179
Utilization: 47.49618320610687, Throughput(with Loaders): 4983.218571202917, Throughput: 9019.971138283663, Epoch Time: 8.076303230000008 sec
**********************************************************
Epoch: 3, G_Loss: 0.04683428182022297, D1_Loss: 0.0026120372984242968, D2_Loss: 0.0026120372984242968
Utilization: 46.52671755725191, Throughput(with Loaders): 5254.907959751749, Throughput: 9951.572505742439, Epoch Time: 7.958789566000007 sec
**********************************************************
Epoch: 4, G_Loss: 0.047721241162334956, D1_Loss: 0.00256462126863899, D2_Loss: 0.00256462126863899
Utilization: 46.7557251908397, Throughput(with Loaders): 5419.323352463761, Throughput: 10586.717465241301, Epoch Time: 8.071723788999975 sec
**********************************************************
Epoch: 5, G_Loss: 0.04903299869869912, D1_Loss: 0.0025410067133385095, D2_Loss: 0.0025410067133385095
Utilization: 46.404580152671755, Throughput(with Loaders): 5552.292731059122, Throughput: 11090.587811709935, Epoch Time: 7.900670900000023 sec
**********************************************************
Epoch: 6, G_Loss: 0.04629937353779017, D1_Loss: 0.0029857798131431895, D2_Loss: 0.0029857798131431895
Utilization: 46.06106870229008, Throughput(with Loaders): 5624.1492827947695, Throughput: 11371.226582368152, Epoch Time: 8.200064754999971 sec
**********************************************************
Epoch: 7, G_Loss: 0.04929111046361073, D1_Loss: 0.0021874911416745104, D2_Loss: 0.0021874911416745104
Utilization: 46.29007633587786, Throughput(with Loaders): 5684.828830856147, Throughput: 11612.072170542462, Epoch Time: 8.131245182999976 sec
**********************************************************
Epoch: 8, G_Loss: 0.0483135421481939, D1_Loss: 0.002245881703288917, D2_Loss: 0.002245881703288917
Utilization: 45.80916030534351, Throughput(with Loaders): 5745.179740564296, Throughput: 11879.263610898846, Epoch Time: 7.963973832000022 sec
**********************************************************
Epoch: 9, G_Loss: 0.04999875182645425, D1_Loss: 0.0025649093868865915, D2_Loss: 0.0025649093868865915
Utilization: 45.229007633587784, Throughput(with Loaders): 5775.349219643373, Throughput: 12062.656572050537, Epoch Time: 8.248485119000009 sec
**********************************************************
Epoch: 10, G_Loss: 0.04896259202005596, D1_Loss: 0.002589508462072549, D2_Loss: 0.002589508462072549
Utilization: 46.3587786259542, Throughput(with Loaders): 5821.486801931131, Throughput: 12251.636279559974, Epoch Time: 7.902889304999974 sec
**********************************************************
Epoch: 11, G_Loss: 0.045156696887424554, D1_Loss: 0.002964678147082753, D2_Loss: 0.002964678147082753
Utilization: 47.229007633587784, Throughput(with Loaders): 5856.575931594927, Throughput: 12395.281620492025, Epoch Time: 7.971517504000019 sec
**********************************************************
Epoch: 12, G_Loss: 0.04337324610910583, D1_Loss: 0.0028821862052777194, D2_Loss: 0.0028821862052777194
Utilization: 46.98473282442748, Throughput(with Loaders): 5888.037368903522, Throughput: 12522.87718726156, Epoch Time: 7.944539357000053 sec
**********************************************************
Epoch: 13, G_Loss: 0.041641105635376305, D1_Loss: 0.0035406489996069115, D2_Loss: 0.0035406489996069115
Utilization: 46.61068702290076, Throughput(with Loaders): 5911.764347872813, Throughput: 12632.141985817869, Epoch Time: 8.014806548000024 sec
**********************************************************
Epoch: 14, G_Loss: 0.04033455408391222, D1_Loss: 0.003042098695103048, D2_Loss: 0.003042098695103048
Utilization: 46.404580152671755, Throughput(with Loaders): 5939.58767269336, Throughput: 12750.844872789105, Epoch Time: 7.863581336999971 sec
**********************************************************
Epoch: 15, G_Loss: 0.041804249388072846, D1_Loss: 0.002976245217715041, D2_Loss: 0.002976245217715041
Utilization: 47.57251908396947, Throughput(with Loaders): 5963.653657079379, Throughput: 12838.135564793272, Epoch Time: 7.874718518000009 sec
**********************************************************
Epoch: 16, G_Loss: 0.04125667826389948, D1_Loss: 0.003046148184897225, D2_Loss: 0.003046148184897225
Utilization: 47.20610687022901, Throughput(with Loaders): 5985.107693480426, Throughput: 12921.146887323503, Epoch Time: 7.873370490000013 sec
**********************************************************
Epoch: 17, G_Loss: 0.04191519567931701, D1_Loss: 0.00284077945195678, D2_Loss: 0.00284077945195678
Utilization: 47.14503816793893, Throughput(with Loaders): 6000.13507913947, Throughput: 12984.867526769716, Epoch Time: 7.977617156000008 sec
**********************************************************
Epoch: 18, G_Loss: 0.043321878907060685, D1_Loss: 0.0027059056723100663, D2_Loss: 0.0027059056723100663
Utilization: 46.58015267175573, Throughput(with Loaders): 6019.438030922194, Throughput: 13065.725127365466, Epoch Time: 7.8255751230000214 sec
**********************************************************
Epoch: 19, G_Loss: 0.04351062493425272, D1_Loss: 0.0025406768142626295, D2_Loss: 0.0025406768142626295
Utilization: 44.36641221374046, Throughput(with Loaders): 6033.142810270416, Throughput: 13148.506713995639, Epoch Time: 7.929207378000001 sec
**********************************************************
Epoch: 20, G_Loss: 0.04087433793831295, D1_Loss: 0.0026536757629242913, D2_Loss: 0.0026536757629242913
Utilization: 45.81679389312977, Throughput(with Loaders): 6048.892518256733, Throughput: 13222.288005726456, Epoch Time: 7.834560851000049 sec
**********************************************************
Epoch: 21, G_Loss: 0.04300160143952882, D1_Loss: 0.0029132685499957452, D2_Loss: 0.0029132685499957452
Utilization: 44.87022900763359, Throughput(with Loaders): 6057.219602700491, Throughput: 13290.309720782145, Epoch Time: 8.016138295000019 sec
**********************************************************
Epoch: 22, G_Loss: 0.04573840983965233, D1_Loss: 0.002463123345606889, D2_Loss: 0.002463123345606889
Utilization: 46.770992366412216, Throughput(with Loaders): 6068.862487549118, Throughput: 13334.754699003008, Epoch Time: 7.890538429000003 sec
**********************************************************
Epoch: 23, G_Loss: 0.04046648557309005, D1_Loss: 0.002697311965475423, D2_Loss: 0.002697311965475423
Utilization: 46.51145038167939, Throughput(with Loaders): 6080.7070056759585, Throughput: 13387.222016509711, Epoch Time: 7.853776769000035 sec
**********************************************************
Epoch: 24, G_Loss: 0.04105289688906844, D1_Loss: 0.0024574995410807485, D2_Loss: 0.0024574995410807485
Utilization: 46.48091603053435, Throughput(with Loaders): 6087.439233553269, Throughput: 13424.589104568551, Epoch Time: 7.995545723999953 sec
**********************************************************
Epoch: 25, G_Loss: 0.03981385363623828, D1_Loss: 0.00271751213542303, D2_Loss: 0.00271751213542303
Utilization: 46.70992366412214, Throughput(with Loaders): 6097.187517245401, Throughput: 13459.754067144859, Epoch Time: 7.872357359000034 sec
**********************************************************
Epoch: 26, G_Loss: 0.040692885642847905, D1_Loss: 0.0027979260830533533, D2_Loss: 0.0027979260830533533
Utilization: 45.0763358778626, Throughput(with Loaders): 6102.584105952087, Throughput: 13499.861360816201, Epoch Time: 8.004863669999963 sec
**********************************************************
Epoch: 27, G_Loss: 0.041292655329945464, D1_Loss: 0.0025022805112928084, D2_Loss: 0.0025022805112928084
Utilization: 45.80152671755725, Throughput(with Loaders): 6111.338634006721, Throughput: 13546.428132620142, Epoch Time: 7.864775140000006 sec
**********************************************************
Epoch: 28, G_Loss: 0.038787407144656484, D1_Loss: 0.003140922043596131, D2_Loss: 0.003140922043596131
Utilization: 45.274809160305345, Throughput(with Loaders): 6110.872545500692, Throughput: 13571.261350666051, Epoch Time: 8.19977416100005 sec
**********************************************************
Epoch: 29, G_Loss: 0.03799865206051668, D1_Loss: 0.0029087288120429934, D2_Loss: 0.0029087288120429934
Utilization: 45.969465648854964, Throughput(with Loaders): 6117.6903845515735, Throughput: 13610.561459223518, Epoch Time: 7.908739113000024 sec
**********************************************************

Distributed Training Completed...
Average Training Time per device: 8.173182501400008 sec
Total Distributed Training Time: 245.20182043 sec
Average Throughput: 12077.186982188823
Average Data Loading Time per device: 4.499491291099815 sec
Average Calculation Time: 3.673691210300192 sec
